,2025-03-31,2024-03-31,2023-03-31
Net Debt,30.926188877069993,30.01190082895379,30.751015484044895
Working Capital,11.427682721597918,12.19487018676678,18.204301341195407
Gross PPE,9.344284065228006,9.158828453221222,8.348623322779247
Cash And Cash Equivalents,3.2111267769293175,3.5157998726215287,5.123829768285865
Total Assets,100.0,100.0,100.0
