,Base Year,Year1,Year2,Year3,Year4,Year5
FCFF,,192.44340425201193,199.84544166075287,209.6867367921055,221.93679838641822,236.60031056525997
interest expense,23.621882936085758,24.184455747156626,24.76042665052236,25.35011473177261,25.953846675759014,26.571956947577316
Net Debt,832.3893298430593,894.7279020645854,961.7350800061669,1033.7605007960315,1111.179986279807,1194.397504023431
Interest Expense(1-t),16.535318055260028,16.929119023009637,17.33229865536565,17.745080312240827,18.167692673031308,18.60036986330412
Net Borrowings,,62.33857222152608,67.00717794158152,72.0254207898646,77.41948548377559,83.21751774362406
FCFE,,147.03395105349549,150.170562374537,155.40639631448173,162.68500557567393,171.98316268494003
