,Base Year
Interest,23.62188293608576
EBIT,190.83958692503435
ICR,8.078932041166793
Debt,832.3893298430593
Equity,3938.021497064732
Value,4770.4108269077915
Cost of Debt,0.07100000000000001
Cost of Equity,8.276669878239321
WACC,0.07699688812282784
div,34.0
ROE,0.027079898712997416
Dividend yield,0.008421261411400607
terminal_growth_rate,0.026851851806941014
