,2025-03-31,2024-03-31,2023-03-31
Total Revenue,100.0,100.0,100.0
Cost Of Revenue,67.33401479453983,66.72839357145077,64.19374570560991
Gross Profit,32.66598520546016,33.271606428549234,35.80625429439009
EBITDA,12.19779500028815,12.654648327557009,13.030235038347712
Depreciation And Amortization In Income Statement,1.6121481310726444,1.6770592740300798,1.8629161877078797
EBIT,10.585646869215504,10.977589053526929,11.167318850639834
Interest Expense,1.3102779940808467,1.6139921335619554,1.7492321704850704
Pretax Income,9.275368875134658,9.363596919964975,9.418086680154763
Net Income,5.915262914932281,5.959915513124597,5.763865547236172
