,FCFE,Present Value
Base Year,,
Year1,147.03395105349549,125.41452772205453
Year2,150.170562374537,118.298744718708
Year3,155.40639631448173,113.06529720318213
Year4,162.68500557567393,109.31331760069172
Year5,171.98316268494003,106.72756214136325
