,2025-03-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,CAGR (%)
Total Revenue,1802.8145968105332,1553.9399006375738,1288.3191018611244,18.294297584362383
Cost Of Revenue,1213.9074473345281,1036.9191327612514,827.0202881255278,21.153148818208003
Gross Profit,588.907149476005,517.0207678763226,461.2988137355966,12.98798002853989
EBITDA,219.90362875422016,196.64562964727378,167.8710070164348,14.453308187183511
Depreciation And Amortization In Income Statement,29.064041829185843,26.060493216496237,24.000305097903656,10.044824881707504
EBIT,190.83958692503433,170.58513643077754,143.87070191853115,15.172303415833932
Interest Expense,23.621882936085758,25.080467756570908,22.535692188259112,2.3815747990667546
Pretax Income,167.21770398894859,145.50466867420664,121.33500973027203,17.394584580496076
Net Income,106.6412232701194,92.6135052027317,74.25698085063583,19.837824193590613
