,Base Year,Year1,Year2,Year3,Year4,Year5
EBIT,190.83958692503433,219.79434809082468,253.1422134740188,291.54971817585493,335.7845260255044,386.73077313751384
EBIT(1-t),133.58771084752402,147.7755438187613,163.4702115365681,180.83174907875167,200.03718822842305,221.2823626281865
DA,29.064041829185843,31.98347393447378,35.196157882278236,38.731550306642376,42.62206670891505,46.90337867079012
NWC,307.58012893540894,261.20492381628566,221.82191177961082,188.37684920583263,159.97444540994508,135.85439661036176
Gross PPE,251.5047160138546,285.195534634201,323.3994744289693,366.721099596036,415.8459599428434,471.55143947614334
Delta NWC,,-46.37520511912328,-39.38301203667484,-33.44506257377819,-28.40240379588755,-24.120048799583316
CapEx,,33.69081862034642,38.2039397947683,43.32162516706671,49.124860346807395,55.70547953329992
FCFF,,192.44340425201193,199.84544166075287,209.6867367921055,221.93679838641822,236.60031056525997
