,2025-03-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,CAGR (%)
Net Debt,832.3893298430593,723.9470553695053,720.4395585030903,7.489112364436434
Working Capital,307.58012893540894,294.1646519705276,426.4931942788288,-15.077438610756921
Gross PPE,251.5047160138546,220.92925493566892,195.59284160525976,13.395700547615386
Cash And Cash Equivalents,86.42861480649839,84.80812260306155,120.04187822753822,-15.147940989893804
Total Assets,2691.535426986377,2412.1999452666523,2342.815504342902,7.184257930030125
